uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
ES,OUTRAS,HOSPITAL,"< 9",M,2
ES,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
ES,PNEUMONIA,HOSPITAL,"< 9",M,2
ES,SEPTICEMIA,HOSPITAL,"< 9",F,2
ES,SEPTICEMIA,HOSPITAL,"< 9",M,1
GO,OUTRAS,HOSPITAL,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",M,2
MA,OUTRAS,HOSPITAL,"< 9",F,3
MA,OUTRAS,HOSPITAL,"< 9",M,4
MA,SEPTICEMIA,HOSPITAL,"< 9",F,1
MG,OUTRAS,HOSPITAL,"< 9",M,2
MG,PNEUMONIA,HOSPITAL,"< 9",M,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,1
MG,SEPTICEMIA,HOSPITAL,"< 9",M,1
MS,OUTRAS,HOSPITAL,"< 9",M,3
MS,SEPTICEMIA,HOSPITAL,"< 9",M,1
MT,OUTRAS,DOMICILIO,"< 9",F,1
MT,OUTRAS,HOSPITAL,"< 9",M,3
MT,OUTRAS,IGNORADO,"< 9",F,1
MT,OUTRAS,IGNORADO,"< 9",M,1
MT,INDETERMINADA,IGNORADO,"< 9",M,2
MT,SEPTICEMIA,HOSPITAL,"< 9",F,1
PA,OUTRAS,HOSPITAL,"< 9",M,1
PA,OUTRAS,OUTRO,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
PB,OUTRAS,DOMICILIO,"< 9",M,1
PB,OUTRAS,HOSPITAL,"< 9",M,2
PB,COVID,HOSPITAL,"< 9",M,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
PB,PNEUMONIA,HOSPITAL,"< 9",M,1
PB,SEPTICEMIA,HOSPITAL,"< 9",F,2
PB,SEPTICEMIA,HOSPITAL,"< 9",M,1
PE,OUTRAS,HOSPITAL,"< 9",F,4
PE,OUTRAS,HOSPITAL,"< 9",M,8
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
PE,SEPTICEMIA,HOSPITAL,"< 9",F,1
PE,SEPTICEMIA,HOSPITAL,"< 9",M,3
PE,SRAG,HOSPITAL,"< 9",F,1
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PR,OUTRAS,HOSPITAL,"< 9",F,4
PR,OUTRAS,HOSPITAL,"< 9",M,3
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
PR,SEPTICEMIA,HOSPITAL,"< 9",F,1
PR,SEPTICEMIA,HOSPITAL,"< 9",M,3
RJ,OUTRAS,HOSPITAL,"< 9",F,19
RJ,OUTRAS,HOSPITAL,"< 9",M,14
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
RJ,COVID,HOSPITAL,"< 9",F,1
RJ,COVID,HOSPITAL,"< 9",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
RJ,PNEUMONIA,HOSPITAL,"< 9",M,2
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
RJ,SEPTICEMIA,HOSPITAL,"< 9",F,9
RJ,SEPTICEMIA,HOSPITAL,"< 9",M,7
RJ,SRAG,HOSPITAL,"< 9",M,1
RN,OUTRAS,HOSPITAL,"< 9",F,1
RN,OUTRAS,HOSPITAL,"< 9",M,1
RN,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
RO,SEPTICEMIA,HOSPITAL,"< 9",M,1
RR,OUTRAS,HOSPITAL,"< 9",F,2
RS,OUTRAS,DOMICILIO,"< 9",M,1
RS,OUTRAS,HOSPITAL,"< 9",F,6
RS,OUTRAS,HOSPITAL,"< 9",M,4
RS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
RS,SEPTICEMIA,HOSPITAL,"< 9",F,2
RS,SEPTICEMIA,HOSPITAL,"< 9",M,3
RS,SEPTICEMIA,IGNORADO,"< 9",M,1
SC,OUTRAS,HOSPITAL,"< 9",F,4
SC,OUTRAS,HOSPITAL,"< 9",M,3
SC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,3
SC,SEPTICEMIA,HOSPITAL,"< 9",F,1
SC,SEPTICEMIA,HOSPITAL,"< 9",M,1
SE,OUTRAS,HOSPITAL,"< 9",F,1
SP,OUTRAS,DOMICILIO,"< 9",F,1
SP,OUTRAS,HOSPITAL,"< 9",F,17
SP,OUTRAS,HOSPITAL,"< 9",I,1
SP,OUTRAS,HOSPITAL,"< 9",M,26
SP,OUTRAS,IGNORADO,"< 9",F,1
SP,OUTRAS,IGNORADO,"< 9",M,1
SP,COVID,HOSPITAL,"< 9",M,1
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,4
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
SP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
SP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
SP,PNEUMONIA,DOMICILIO,"< 9",F,1
SP,PNEUMONIA,HOSPITAL,"< 9",F,1
SP,SEPTICEMIA,HOSPITAL,"< 9",F,7
SP,SEPTICEMIA,HOSPITAL,"< 9",M,10
SP,SRAG,HOSPITAL,"< 9",M,1
TO,OUTRAS,HOSPITAL,"< 9",F,1
TO,OUTRAS,HOSPITAL,"< 9",M,1
TO,PNEUMONIA,DOMICILIO,"< 9",M,1
TO,SEPTICEMIA,HOSPITAL,"< 9",F,2
TO,SEPTICEMIA,HOSPITAL,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
AM,OUTRAS,HOSPITAL,"10 - 19",M,2
AM,INDETERMINADA,DOMICILIO,"10 - 19",M,1
BA,OUTRAS,HOSPITAL,"10 - 19",F,1
BA,OUTRAS,HOSPITAL,"10 - 19",M,1
BA,OUTRAS,VIA_PUBLICA,"10 - 19",F,1
BA,SEPTICEMIA,DOMICILIO,"10 - 19",M,1
CE,OUTRAS,HOSPITAL,"10 - 19",M,1
DF,OUTRAS,HOSPITAL,"10 - 19",F,1
DF,COVID,HOSPITAL,"10 - 19",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
ES,OUTRAS,HOSPITAL,"10 - 19",F,1
ES,OUTRAS,HOSPITAL,"10 - 19",M,1
ES,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
GO,OUTRAS,HOSPITAL,"10 - 19",M,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"10 - 19",F,1
MA,OUTRAS,HOSPITAL,"10 - 19",F,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
MT,SEPTICEMIA,IGNORADO,"10 - 19",F,1
PA,OUTRAS,HOSPITAL,"10 - 19",F,1
PB,OUTRAS,HOSPITAL,"10 - 19",F,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
PB,PNEUMONIA,DOMICILIO,"10 - 19",M,1
PB,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
PE,OUTRAS,DOMICILIO,"10 - 19",M,1
PE,OUTRAS,HOSPITAL,"10 - 19",F,1
PE,OUTRAS,HOSPITAL,"10 - 19",M,3
PE,OUTRAS,OUTRO,"10 - 19",M,1
PE,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
PE,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
PE,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
PR,OUTRAS,HOSPITAL,"10 - 19",F,1
PR,OUTRAS,VIA_PUBLICA,"10 - 19",F,1
PR,OUTRAS,VIA_PUBLICA,"10 - 19",M,2
PR,COVID,HOSPITAL,"10 - 19",F,1
PR,PNEUMONIA,HOSPITAL,"10 - 19",F,1
RJ,OUTRAS,HOSPITAL,"10 - 19",F,3
RJ,OUTRAS,HOSPITAL,"10 - 19",M,4
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,1
RJ,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
RN,OUTRAS,HOSPITAL,"10 - 19",M,1
RO,OUTRAS,HOSPITAL,"10 - 19",F,1
RO,COVID,HOSPITAL,"10 - 19",F,1
RS,OUTRAS,HOSPITAL,"10 - 19",F,1
RS,OUTRAS,OUTRO,"10 - 19",F,1
RS,OUTRAS,OUTRO,"10 - 19",M,2
RS,COVID,HOSPITAL,"10 - 19",M,1
RS,SEPTICEMIA,IGNORADO,"10 - 19",F,1
SC,OUTRAS,HOSPITAL,"10 - 19",M,1
SP,OUTRAS,DOMICILIO,"10 - 19",M,1
SP,OUTRAS,HOSPITAL,"10 - 19",F,1
SP,OUTRAS,HOSPITAL,"10 - 19",M,2
SP,OUTRAS,OUTRO,"10 - 19",M,2
SP,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
SP,COVID,HOSPITAL,"10 - 19",F,1
SP,PNEUMONIA,HOSPITAL,"10 - 19",F,2
AC,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
AC,PNEUMONIA,HOSPITAL,"20 - 29",M,1
AL,OUTRAS,DOMICILIO,"20 - 29",M,1
AL,OUTRAS,HOSPITAL,"20 - 29",F,1
AL,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
AM,OUTRAS,HOSPITAL,"20 - 29",M,1
AM,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
AM,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
BA,OUTRAS,DOMICILIO,"20 - 29",F,1
BA,OUTRAS,DOMICILIO,"20 - 29",M,1
BA,OUTRAS,HOSPITAL,"20 - 29",F,2
BA,OUTRAS,HOSPITAL,"20 - 29",M,4
BA,OUTRAS,OUTRO,"20 - 29",M,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
BA,OUTRAS,VIA_PUBLICA,"20 - 29",F,2
BA,OUTRAS,VIA_PUBLICA,"20 - 29",M,2
BA,COVID,HOSPITAL,"20 - 29",F,1
BA,COVID,HOSPITAL,"20 - 29",M,3
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
BA,PNEUMONIA,HOSPITAL,"20 - 29",F,1
BA,SEPTICEMIA,HOSPITAL,"20 - 29",F,1
BA,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
CE,OUTRAS,HOSPITAL,"20 - 29",M,1
CE,OUTRAS,IGNORADO,"20 - 29",M,1
CE,COVID,HOSPITAL,"20 - 29",F,1
CE,SEPTICEMIA,IGNORADO,"20 - 29",M,1
DF,OUTRAS,DOMICILIO,"20 - 29",M,1
DF,OUTRAS,HOSPITAL,"20 - 29",F,1
DF,OUTRAS,HOSPITAL,"20 - 29",M,2
DF,OUTRAS,OUTRO,"20 - 29",M,1
DF,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",F,1
ES,OUTRAS,OUTRO,"20 - 29",M,1
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
ES,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
ES,COVID,HOSPITAL,"20 - 29",F,1
GO,OUTRAS,DOMICILIO,"20 - 29",M,1
GO,COVID,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
MA,OUTRAS,OUTRO,"20 - 29",M,1
MA,SRAG,HOSPITAL,"20 - 29",M,1
MS,OUTRAS,HOSPITAL,"20 - 29",M,1
MS,PNEUMONIA,HOSPITAL,"20 - 29",M,1
MT,COVID,HOSPITAL,"20 - 29",F,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
PA,OUTRAS,HOSPITAL,"20 - 29",M,1
PA,SRAG,HOSPITAL,"20 - 29",F,1
PB,OUTRAS,HOSPITAL,"20 - 29",F,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"20 - 29",M,1
PB,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
PB,SRAG,HOSPITAL,"20 - 29",M,1
PE,OUTRAS,DOMICILIO,"20 - 29",M,1
PE,OUTRAS,HOSPITAL,"20 - 29",F,1
PE,OUTRAS,HOSPITAL,"20 - 29",M,4
PE,OUTRAS,OUTRO,"20 - 29",M,2
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
PE,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
PE,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
PE,PNEUMONIA,HOSPITAL,"20 - 29",M,1
PE,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
PI,OUTRAS,HOSPITAL,"20 - 29",M,1
PR,OUTRAS,DOMICILIO,"20 - 29",F,2
PR,OUTRAS,DOMICILIO,"20 - 29",M,4
PR,OUTRAS,HOSPITAL,"20 - 29",F,1
PR,OUTRAS,HOSPITAL,"20 - 29",M,5
PR,OUTRAS,OUTRO,"20 - 29",M,5
PR,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
PR,COVID,HOSPITAL,"20 - 29",M,1
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
PR,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
RJ,OUTRAS,DOMICILIO,"20 - 29",M,4
RJ,OUTRAS,HOSPITAL,"20 - 29",F,4
RJ,OUTRAS,HOSPITAL,"20 - 29",M,8
RJ,OUTRAS,OUTRO,"20 - 29",M,2
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,2
RJ,OUTRAS,VIA_PUBLICA,"20 - 29",M,3
RJ,COVID,HOSPITAL,"20 - 29",F,2
RJ,COVID,HOSPITAL,"20 - 29",M,1
RJ,INDETERMINADA,HOSPITAL,"20 - 29",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,2
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,2
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"20 - 29",F,1
RJ,PNEUMONIA,HOSPITAL,"20 - 29",F,2
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"20 - 29",M,1
RJ,SEPTICEMIA,HOSPITAL,"20 - 29",F,1
RJ,SEPTICEMIA,HOSPITAL,"20 - 29",M,2
RN,OUTRAS,HOSPITAL,"20 - 29",M,1
RS,OUTRAS,DOMICILIO,"20 - 29",F,3
RS,OUTRAS,DOMICILIO,"20 - 29",M,1
RS,OUTRAS,HOSPITAL,"20 - 29",F,1
RS,OUTRAS,HOSPITAL,"20 - 29",M,2
RS,PNEUMONIA,HOSPITAL,"20 - 29",F,2
RS,PNEUMONIA,HOSPITAL,"20 - 29",M,1
RS,SEPTICEMIA,HOSPITAL,"20 - 29",F,2
SC,OUTRAS,DOMICILIO,"20 - 29",F,1
SC,OUTRAS,DOMICILIO,"20 - 29",M,1
SC,OUTRAS,HOSPITAL,"20 - 29",F,2
SC,OUTRAS,HOSPITAL,"20 - 29",M,2
SC,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
SC,COVID,HOSPITAL,"20 - 29",M,1
SC,PNEUMONIA,HOSPITAL,"20 - 29",M,1
SP,OUTRAS,DOMICILIO,"20 - 29",F,1
SP,OUTRAS,DOMICILIO,"20 - 29",M,4
SP,OUTRAS,HOSPITAL,"20 - 29",F,2
SP,OUTRAS,HOSPITAL,"20 - 29",M,13
SP,OUTRAS,OUTRO,"20 - 29",M,2
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,3
SP,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
SP,OUTRAS,VIA_PUBLICA,"20 - 29",M,6
SP,COVID,HOSPITAL,"20 - 29",F,1
SP,COVID,HOSPITAL,"20 - 29",M,2
SP,INDETERMINADA,HOSPITAL,"20 - 29",F,1
SP,INDETERMINADA,HOSPITAL,"20 - 29",M,1
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,2
SP,INSUFICIENCIA_RESPIRATORIA,POSTO_SAUDE,"20 - 29",F,1
SP,PNEUMONIA,HOSPITAL,"20 - 29",F,3
SP,PNEUMONIA,HOSPITAL,"20 - 29",M,1
SP,SEPTICEMIA,HOSPITAL,"20 - 29",F,1
SP,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
SP,SRAG,HOSPITAL,"20 - 29",F,1
TO,OUTRAS,DOMICILIO,"20 - 29",F,1
TO,OUTRAS,HOSPITAL,"20 - 29",M,1
TO,PNEUMONIA,HOSPITAL,"20 - 29",F,1
AC,OUTRAS,HOSPITAL,"30 - 39",F,1
AC,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
AL,OUTRAS,DOMICILIO,"30 - 39",F,3
AL,OUTRAS,HOSPITAL,"30 - 39",F,1
AL,OUTRAS,VIA_PUBLICA,"30 - 39",M,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,1
AL,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
AL,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
AM,OUTRAS,DOMICILIO,"30 - 39",F,1
AM,OUTRAS,HOSPITAL,"30 - 39",F,4
AM,OUTRAS,HOSPITAL,"30 - 39",M,5
AM,OUTRAS,OUTRO,"30 - 39",M,1
AM,COVID,HOSPITAL,"30 - 39",F,5
AM,COVID,HOSPITAL,"30 - 39",M,5
AM,PNEUMONIA,HOSPITAL,"30 - 39",F,1
AM,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
AM,SRAG,HOSPITAL,"30 - 39",F,3
AM,SRAG,HOSPITAL,"30 - 39",M,1
BA,OUTRAS,DOMICILIO,"30 - 39",F,3
BA,OUTRAS,HOSPITAL,"30 - 39",F,2
BA,OUTRAS,HOSPITAL,"30 - 39",M,6
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
BA,OUTRAS,VIA_PUBLICA,"30 - 39",M,1
BA,COVID,HOSPITAL,"30 - 39",M,1
BA,PNEUMONIA,HOSPITAL,"30 - 39",M,2
BA,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
CE,OUTRAS,DOMICILIO,"30 - 39",F,1
CE,OUTRAS,HOSPITAL,"30 - 39",F,1
CE,COVID,HOSPITAL,"30 - 39",M,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,2
CE,SEPTICEMIA,HOSPITAL,"30 - 39",M,2
DF,OUTRAS,HOSPITAL,"30 - 39",F,1
DF,OUTRAS,HOSPITAL,"30 - 39",M,3
DF,OUTRAS,VIA_PUBLICA,"30 - 39",M,1
DF,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
ES,OUTRAS,DOMICILIO,"30 - 39",F,1
ES,OUTRAS,DOMICILIO,"30 - 39",M,2
ES,OUTRAS,HOSPITAL,"30 - 39",M,4
ES,OUTRAS,OUTRO,"30 - 39",F,1
ES,COVID,HOSPITAL,"30 - 39",M,2
ES,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
ES,SRAG,HOSPITAL,"30 - 39",M,1
GO,OUTRAS,DOMICILIO,"30 - 39",M,1
GO,OUTRAS,HOSPITAL,"30 - 39",M,2
GO,OUTRAS,VIA_PUBLICA,"30 - 39",M,1
GO,COVID,HOSPITAL,"30 - 39",M,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,2
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
GO,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
MA,OUTRAS,HOSPITAL,"30 - 39",F,1
MA,OUTRAS,HOSPITAL,"30 - 39",M,1
MA,COVID,HOSPITAL,"30 - 39",M,1
MA,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
MG,OUTRAS,DOMICILIO,"30 - 39",F,1
MG,OUTRAS,HOSPITAL,"30 - 39",M,1
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
MG,SEPTICEMIA,HOSPITAL,"30 - 39",F,2
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
MS,OUTRAS,DOMICILIO,"30 - 39",M,1
MS,OUTRAS,HOSPITAL,"30 - 39",M,3
MS,COVID,HOSPITAL,"30 - 39",F,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
MS,PNEUMONIA,HOSPITAL,"30 - 39",F,1
MT,COVID,IGNORADO,"30 - 39",M,1
MT,PNEUMONIA,IGNORADO,"30 - 39",F,1
PA,OUTRAS,DOMICILIO,"30 - 39",M,1
PA,OUTRAS,HOSPITAL,"30 - 39",M,1
PA,OUTRAS,OUTRO,"30 - 39",M,1
PA,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
PB,OUTRAS,DOMICILIO,"30 - 39",F,1
PB,OUTRAS,HOSPITAL,"30 - 39",M,2
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,1
PB,PNEUMONIA,HOSPITAL,"30 - 39",M,2
PE,OUTRAS,DOMICILIO,"30 - 39",F,1
PE,OUTRAS,DOMICILIO,"30 - 39",M,2
PE,OUTRAS,HOSPITAL,"30 - 39",M,3
PE,OUTRAS,OUTRO,"30 - 39",M,2
PE,OUTRAS,VIA_PUBLICA,"30 - 39",M,5
PE,COVID,HOSPITAL,"30 - 39",F,1
PE,COVID,HOSPITAL,"30 - 39",M,3
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
PE,PNEUMONIA,HOSPITAL,"30 - 39",M,1
PE,SEPTICEMIA,HOSPITAL,"30 - 39",M,3
PI,OUTRAS,DOMICILIO,"30 - 39",M,1
PR,OUTRAS,DOMICILIO,"30 - 39",F,1
PR,OUTRAS,DOMICILIO,"30 - 39",M,4
PR,OUTRAS,HOSPITAL,"30 - 39",M,3
PR,OUTRAS,OUTRO,"30 - 39",M,4
PR,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
PR,COVID,HOSPITAL,"30 - 39",F,3
PR,COVID,HOSPITAL,"30 - 39",M,1
PR,INDETERMINADA,VIA_PUBLICA,"30 - 39",M,1
PR,PNEUMONIA,HOSPITAL,"30 - 39",F,2
PR,PNEUMONIA,HOSPITAL,"30 - 39",M,2
PR,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
RJ,OUTRAS,DOMICILIO,"30 - 39",F,2
RJ,OUTRAS,DOMICILIO,"30 - 39",M,4
RJ,OUTRAS,HOSPITAL,"30 - 39",F,6
RJ,OUTRAS,HOSPITAL,"30 - 39",M,13
RJ,OUTRAS,IGNORADO,"30 - 39",F,1
RJ,OUTRAS,OUTRO,"30 - 39",M,1
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,5
RJ,OUTRAS,VIA_PUBLICA,"30 - 39",M,2
RJ,COVID,HOSPITAL,"30 - 39",F,8
RJ,COVID,HOSPITAL,"30 - 39",M,5
RJ,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
RJ,PNEUMONIA,HOSPITAL,"30 - 39",F,2
RJ,PNEUMONIA,HOSPITAL,"30 - 39",M,4
RJ,SEPTICEMIA,HOSPITAL,"30 - 39",F,4
RJ,SEPTICEMIA,HOSPITAL,"30 - 39",M,4
RJ,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
RJ,SRAG,HOSPITAL,"30 - 39",F,1
RN,OUTRAS,HOSPITAL,"30 - 39",M,1
RO,OUTRAS,HOSPITAL,"30 - 39",F,1
RO,OUTRAS,HOSPITAL,"30 - 39",M,1
RO,COVID,HOSPITAL,"30 - 39",M,1
RO,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
RR,OUTRAS,HOSPITAL,"30 - 39",M,1
RS,OUTRAS,DOMICILIO,"30 - 39",F,1
RS,OUTRAS,DOMICILIO,"30 - 39",M,2
RS,OUTRAS,HOSPITAL,"30 - 39",F,3
RS,OUTRAS,HOSPITAL,"30 - 39",M,3
